Title,Address,Bedrooms,Bathrooms,Rent,Square Footage,Availability,Amenities
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara",1 Bed,1½ Baths,"$3,295","1,016 - 1,144 Sq Ft",Aug 28,"Controlled Access, Courtyard, DisabilityAccess, Drought Tolerant Landscaping, Extra Large Units, Oil Rubbed Bronze Fixtures, Yale Smart Locks, 100 lb Weight Limit, 2 Pet Limit, 45 lb Weight Limit, 2 Pet Limit, Built in 2020, 88 Units/3 Stories, 12 months, 13 months, 14 months, 15 months, Maintenance on site, 24 Hour Availability, Elevator, Clubhouse, Lounge, Storage Space, Fitness Center, Spa, Pool, Washer/Dryer - In Unit, Air Conditioning, Ceiling Fans, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Microwave, Refrigerator, Views, Walk-In Closets, Window Coverings, Balcony, Patio, Package Service, Property Manager on Site"
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara",1 Bed,1½ Baths,"$3,295","1,016 - 1,144 Sq Ft",Aug 28,"Controlled Access, Courtyard, DisabilityAccess, Drought Tolerant Landscaping, Extra Large Units, Oil Rubbed Bronze Fixtures, Yale Smart Locks, 100 lb Weight Limit, 2 Pet Limit, 45 lb Weight Limit, 2 Pet Limit, Built in 2020, 88 Units/3 Stories, 12 months, 13 months, 14 months, 15 months, Maintenance on site, 24 Hour Availability, Elevator, Clubhouse, Lounge, Storage Space, Fitness Center, Spa, Pool, Washer/Dryer - In Unit, Air Conditioning, Ceiling Fans, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Microwave, Refrigerator, Views, Walk-In Closets, Window Coverings, Balcony, Patio, Package Service, Property Manager on Site"
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara",1 Bed,1½ Baths,"$3,295","1,016 - 1,144 Sq Ft",Aug 28,"Controlled Access, Courtyard, DisabilityAccess, Drought Tolerant Landscaping, Extra Large Units, Oil Rubbed Bronze Fixtures, Yale Smart Locks, 100 lb Weight Limit, 2 Pet Limit, 45 lb Weight Limit, 2 Pet Limit, Built in 2020, 88 Units/3 Stories, 12 months, 13 months, 14 months, 15 months, Maintenance on site, 24 Hour Availability, Elevator, Clubhouse, Lounge, Storage Space, Fitness Center, Spa, Pool, Washer/Dryer - In Unit, Air Conditioning, Ceiling Fans, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Microwave, Refrigerator, Views, Walk-In Closets, Window Coverings, Balcony, Patio, Package Service, Property Manager on Site"
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara",1 Bed,1½ Baths,"$3,550","1,144 Sq Ft",Aug 28,"Controlled Access, Courtyard, DisabilityAccess, Drought Tolerant Landscaping, Extra Large Units, Oil Rubbed Bronze Fixtures, Yale Smart Locks, 100 lb Weight Limit, 2 Pet Limit, 45 lb Weight Limit, 2 Pet Limit, Built in 2020, 88 Units/3 Stories, 12 months, 13 months, 14 months, 15 months, Maintenance on site, 24 Hour Availability, Elevator, Clubhouse, Lounge, Storage Space, Fitness Center, Spa, Pool, Washer/Dryer - In Unit, Air Conditioning, Ceiling Fans, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Microwave, Refrigerator, Views, Walk-In Closets, Window Coverings, Balcony, Patio, Package Service, Property Manager on Site"
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara",1 Bed,1½ Baths,"$3,550","1,144 Sq Ft",Aug 28,"Controlled Access, Courtyard, DisabilityAccess, Drought Tolerant Landscaping, Extra Large Units, Oil Rubbed Bronze Fixtures, Yale Smart Locks, 100 lb Weight Limit, 2 Pet Limit, 45 lb Weight Limit, 2 Pet Limit, Built in 2020, 88 Units/3 Stories, 12 months, 13 months, 14 months, 15 months, Maintenance on site, 24 Hour Availability, Elevator, Clubhouse, Lounge, Storage Space, Fitness Center, Spa, Pool, Washer/Dryer - In Unit, Air Conditioning, Ceiling Fans, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Microwave, Refrigerator, Views, Walk-In Closets, Window Coverings, Balcony, Patio, Package Service, Property Manager on Site"
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara",1 Bed,1½ Baths,"$3,550","1,144 Sq Ft",Aug 28,"Controlled Access, Courtyard, DisabilityAccess, Drought Tolerant Landscaping, Extra Large Units, Oil Rubbed Bronze Fixtures, Yale Smart Locks, 100 lb Weight Limit, 2 Pet Limit, 45 lb Weight Limit, 2 Pet Limit, Built in 2020, 88 Units/3 Stories, 12 months, 13 months, 14 months, 15 months, Maintenance on site, 24 Hour Availability, Elevator, Clubhouse, Lounge, Storage Space, Fitness Center, Spa, Pool, Washer/Dryer - In Unit, Air Conditioning, Ceiling Fans, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Microwave, Refrigerator, Views, Walk-In Closets, Window Coverings, Balcony, Patio, Package Service, Property Manager on Site"
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara",2 BRs,2 Baths,"$3,795","1,214 Sq Ft",Aug 28,"Controlled Access, Courtyard, DisabilityAccess, Drought Tolerant Landscaping, Extra Large Units, Oil Rubbed Bronze Fixtures, Yale Smart Locks, 100 lb Weight Limit, 2 Pet Limit, 45 lb Weight Limit, 2 Pet Limit, Built in 2020, 88 Units/3 Stories, 12 months, 13 months, 14 months, 15 months, Maintenance on site, 24 Hour Availability, Elevator, Clubhouse, Lounge, Storage Space, Fitness Center, Spa, Pool, Washer/Dryer - In Unit, Air Conditioning, Ceiling Fans, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Microwave, Refrigerator, Views, Walk-In Closets, Window Coverings, Balcony, Patio, Package Service, Property Manager on Site"
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara",2 BRs,2 Baths,"$3,795","1,214 Sq Ft",Aug 28,"Controlled Access, Courtyard, DisabilityAccess, Drought Tolerant Landscaping, Extra Large Units, Oil Rubbed Bronze Fixtures, Yale Smart Locks, 100 lb Weight Limit, 2 Pet Limit, 45 lb Weight Limit, 2 Pet Limit, Built in 2020, 88 Units/3 Stories, 12 months, 13 months, 14 months, 15 months, Maintenance on site, 24 Hour Availability, Elevator, Clubhouse, Lounge, Storage Space, Fitness Center, Spa, Pool, Washer/Dryer - In Unit, Air Conditioning, Ceiling Fans, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Microwave, Refrigerator, Views, Walk-In Closets, Window Coverings, Balcony, Patio, Package Service, Property Manager on Site"
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara",2 BRs,2 Baths,"$3,795","1,214 Sq Ft",Aug 28,"Controlled Access, Courtyard, DisabilityAccess, Drought Tolerant Landscaping, Extra Large Units, Oil Rubbed Bronze Fixtures, Yale Smart Locks, 100 lb Weight Limit, 2 Pet Limit, 45 lb Weight Limit, 2 Pet Limit, Built in 2020, 88 Units/3 Stories, 12 months, 13 months, 14 months, 15 months, Maintenance on site, 24 Hour Availability, Elevator, Clubhouse, Lounge, Storage Space, Fitness Center, Spa, Pool, Washer/Dryer - In Unit, Air Conditioning, Ceiling Fans, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Microwave, Refrigerator, Views, Walk-In Closets, Window Coverings, Balcony, Patio, Package Service, Property Manager on Site"
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara",2 BRs,2½ Baths,"$4,095","1,409 Sq Ft",Aug 28,"Controlled Access, Courtyard, DisabilityAccess, Drought Tolerant Landscaping, Extra Large Units, Oil Rubbed Bronze Fixtures, Yale Smart Locks, 100 lb Weight Limit, 2 Pet Limit, 45 lb Weight Limit, 2 Pet Limit, Built in 2020, 88 Units/3 Stories, 12 months, 13 months, 14 months, 15 months, Maintenance on site, 24 Hour Availability, Elevator, Clubhouse, Lounge, Storage Space, Fitness Center, Spa, Pool, Washer/Dryer - In Unit, Air Conditioning, Ceiling Fans, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Microwave, Refrigerator, Views, Walk-In Closets, Window Coverings, Balcony, Patio, Package Service, Property Manager on Site"
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara",2 BRs,2½ Baths,"$4,095","1,409 Sq Ft",Aug 28,"Controlled Access, Courtyard, DisabilityAccess, Drought Tolerant Landscaping, Extra Large Units, Oil Rubbed Bronze Fixtures, Yale Smart Locks, 100 lb Weight Limit, 2 Pet Limit, 45 lb Weight Limit, 2 Pet Limit, Built in 2020, 88 Units/3 Stories, 12 months, 13 months, 14 months, 15 months, Maintenance on site, 24 Hour Availability, Elevator, Clubhouse, Lounge, Storage Space, Fitness Center, Spa, Pool, Washer/Dryer - In Unit, Air Conditioning, Ceiling Fans, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Microwave, Refrigerator, Views, Walk-In Closets, Window Coverings, Balcony, Patio, Package Service, Property Manager on Site"
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara",2 BRs,2½ Baths,"$4,095","1,409 Sq Ft",Aug 28,"Controlled Access, Courtyard, DisabilityAccess, Drought Tolerant Landscaping, Extra Large Units, Oil Rubbed Bronze Fixtures, Yale Smart Locks, 100 lb Weight Limit, 2 Pet Limit, 45 lb Weight Limit, 2 Pet Limit, Built in 2020, 88 Units/3 Stories, 12 months, 13 months, 14 months, 15 months, Maintenance on site, 24 Hour Availability, Elevator, Clubhouse, Lounge, Storage Space, Fitness Center, Spa, Pool, Washer/Dryer - In Unit, Air Conditioning, Ceiling Fans, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Microwave, Refrigerator, Views, Walk-In Closets, Window Coverings, Balcony, Patio, Package Service, Property Manager on Site"
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara",3 BRs,2½ Baths,"$4,325","1,423 Sq Ft",Aug 28,"Controlled Access, Courtyard, DisabilityAccess, Drought Tolerant Landscaping, Extra Large Units, Oil Rubbed Bronze Fixtures, Yale Smart Locks, 100 lb Weight Limit, 2 Pet Limit, 45 lb Weight Limit, 2 Pet Limit, Built in 2020, 88 Units/3 Stories, 12 months, 13 months, 14 months, 15 months, Maintenance on site, 24 Hour Availability, Elevator, Clubhouse, Lounge, Storage Space, Fitness Center, Spa, Pool, Washer/Dryer - In Unit, Air Conditioning, Ceiling Fans, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Microwave, Refrigerator, Views, Walk-In Closets, Window Coverings, Balcony, Patio, Package Service, Property Manager on Site"
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara",3 BRs,2½ Baths,"$4,325","1,423 Sq Ft",Aug 28,"Controlled Access, Courtyard, DisabilityAccess, Drought Tolerant Landscaping, Extra Large Units, Oil Rubbed Bronze Fixtures, Yale Smart Locks, 100 lb Weight Limit, 2 Pet Limit, 45 lb Weight Limit, 2 Pet Limit, Built in 2020, 88 Units/3 Stories, 12 months, 13 months, 14 months, 15 months, Maintenance on site, 24 Hour Availability, Elevator, Clubhouse, Lounge, Storage Space, Fitness Center, Spa, Pool, Washer/Dryer - In Unit, Air Conditioning, Ceiling Fans, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Microwave, Refrigerator, Views, Walk-In Closets, Window Coverings, Balcony, Patio, Package Service, Property Manager on Site"
Arrive Los Carneros II,"6720 Calle Koral, Goleta, CA 93117 – West Santa Barbara",3 BRs,2½ Baths,"$4,325","1,423 Sq Ft",Aug 28,"Controlled Access, Courtyard, DisabilityAccess, Drought Tolerant Landscaping, Extra Large Units, Oil Rubbed Bronze Fixtures, Yale Smart Locks, 100 lb Weight Limit, 2 Pet Limit, 45 lb Weight Limit, 2 Pet Limit, Built in 2020, 88 Units/3 Stories, 12 months, 13 months, 14 months, 15 months, Maintenance on site, 24 Hour Availability, Elevator, Clubhouse, Lounge, Storage Space, Fitness Center, Spa, Pool, Washer/Dryer - In Unit, Air Conditioning, Ceiling Fans, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Microwave, Refrigerator, Views, Walk-In Closets, Window Coverings, Balcony, Patio, Package Service, Property Manager on Site"
Ivy Santa Barbara,"203 Ladera St, Santa Barbara, CA 93101 – Alta Mesa",1 Bed,1 Bath,"$2,095 - 2,295",600 Sq Ft,Available Now,"$300 Deposit, Built in 1963, 28 Units/2 Stories, 12, Laundry Facilities, Renters Insurance Program, Laundry Service, Planned Social Activities, Fenced Lot, Sundeck, Courtyard, Grill, Picnic Area, Balcony, Grill, Heating, Cable Ready, Tub/Shower, Dishwasher, Disposal, Kitchen, Microwave, Oven, Refrigerator, Window Coverings"
The Tahitian Apartments,"6739 El Colegio Rd, Goleta, CA 93117 – Goleta",1 Bed,1 Bath,"$2,450",700 Sq Ft,Available Now,"Cable And Internet Included, Fully-Furnished Units, Meeting Rooms, New Study Pods, Resort-Like Outdoor Furniture, Upgraded Units, Built in 1962, 63 Units/2 Stories, Furnished, 12, Wi-Fi at Pool and Clubhouse, Laundry Facilities, Maintenance on site, Furnished Units Available, Renters Insurance Program, Online Services, Planned Social Activities, Clubhouse, Multi Use Room, Conference Room, Gated, Sundeck, Cabana, Courtyard, Grill, Deck, Grill, Fitness Center, Pool, High Speed Internet Access, Wi-Fi, Heating, Smoke Free, Double Vanities, Tub/Shower, Kitchen, Microwave, Oven, Vinyl Flooring, Views, Walk-In Closets, Furnished, Controlled Access, Property Manager on Site, Security System, Video Patrol"
The Marc,"3885 State St, Santa Barbara, CA 93105 – North State",2 BRs,2 Baths,"$2,995 - 3,295",844 Sq Ft,Available Now,"Calgreen® State-Of-The-Art New Construction, Ceiling Heights Up To 11'6"", Central Heating And Air Conditioning, Dedicated Bicycle Storage, Designer Selected Flooring And Finishes, Dual-Pane Low-E Windows, Electric Vehicle Charging Stations, Green Building, Heated Pool, High Ceilings, In-Home Washer And Dryer, Keyless Entry Doors, LED Lighting, Native And Drought Tolerant Plantings, Pre-Wired For High Speed Communications, Quartz Countertops In Kitchen And Bath, Spacious Closets, Tankless Water Heaters, Three Themed Courtyards, 2 Pet Limit, 2 Pet Limit, Must Be Spayed/Neutered, Built in 2016, 90 Units/4 Stories, Furnished, 6, 7, 8, 9, 10, 11, 12, Wi-Fi at Pool and Clubhouse, On-Site Retail, Online Services, Elevator, Clubhouse, Gated, Roof Terrace, Courtyard, Balcony, Patio, Deck, Grill, Garden, Fitness Center, Spa, Pool, Bike Storage, High Speed Internet Access, Washer/Dryer - In Unit, Air Conditioning, Heating, Smoke Free, Cable Ready, Satellite TV, Double Vanities, Tub/Shower, Sprinkler System, Wheelchair Accessible (Rooms), Dishwasher, Disposal, Ice Maker, Granite Countertops, Stainless Steel Appliances, Kitchen, Microwave, Oven, Range, Refrigerator, Freezer, Coffee System, Hardwood Floors, Carpet, Vinyl Flooring, Dining Room, Vaulted Ceiling, Bay Window, Views, Walk-In Closets, Furnished, Window Coverings, Large Bedrooms, Property Manager on Site"
